threshold,coverage,accuracy
0.46688423574832666,1.0,0.9973351099267155
0.5676562233531256,0.9966688874083944,0.9976604278074866
0.6844625177734023,0.9933377748167888,0.9979879275653923
0.7526031506337048,0.9900066622251832,0.9983176312247645
0.8041210833958037,0.9866755496335776,0.9993247805536799
0.8452425448562108,0.983344437041972,0.9996612466124661
0.8684768003272678,0.9800133244503664,0.9996600951733514
0.8871546308876744,0.9766822118587608,0.9996589358799455
0.9032910564986997,0.9733510992671552,0.9996577686516085
0.9228493106419626,0.9700199866755497,0.9996565934065934
0.9319022528879188,0.966688874083944,0.9996554100620262
0.9386688402109096,0.9633577614923384,0.9996542185338866
0.9456194082338949,0.9600266489007329,0.9996530187369882
0.951637055400071,0.9566955363091273,0.9996518105849582
0.9568873810124501,0.9533644237175216,0.9996505939902166
0.9606727877640904,0.950033311125916,0.9996493688639552
0.9630880951044365,0.9467021985343105,0.9996481351161154
0.9671273003953612,0.9433710859427049,0.9996468926553672
0.9683098660456544,0.9400399733510992,0.9996456413890857
0.970778674432233,0.9367088607594937,0.9996443812233285
0.9728265521115794,0.9333777481678881,0.9996431120628123
0.9746511926123812,0.9300466355762825,0.9996418338108882
0.9768547050022149,0.9267155229846769,0.9996405463695184
0.9778869076611618,0.9233844103930713,0.9996392496392497
0.9790049618863665,0.9200532978014657,0.999637943519189
0.9797228229531979,0.91672218520986,0.9996366279069767
0.9802787854518947,0.9133910726182545,0.99963530269876
0.9811588346831029,0.9100599600266489,0.9996339677891655
0.982093960440853,0.9067288474350433,0.9996326230712711
0.9826990296171966,0.9033977348434377,0.9996312684365781
0.9834031110487326,0.9000666222518321,0.9996299037749815
0.9839099627344873,0.8967355096602265,0.99962852897474
0.9844423047011374,0.893404397068621,0.9996271439224459
0.9849987489387052,0.8900732844770153,0.999625748502994
0.9855401631658562,0.8867421718854097,0.9996243425995492
0.9860847825590052,0.8834110592938041,0.9996229260935143
0.9866633623282062,0.8800799467021986,0.9996214988644966
0.9870048557125455,0.8767488341105929,0.9996200607902735
0.9871981196371021,0.8734177215189873,0.9996186117467581
0.9875439878032247,0.8700866089273818,0.9996171516079633
0.9878371745982408,0.8667554963357762,0.9996156802459646
0.988026560865919,0.8634243837441705,0.9996141975308642
0.9882463371943655,0.860093271152565,0.9996127033307514
0.9887754933762374,0.8567621585609594,0.999611197511664
0.989071762908416,0.8534310459693538,0.9996096799375488
0.98925027794543,0.8500999333777481,1.0
0.989430480478261,0.8467688207861426,1.0
0.9898729874605303,0.843437708194537,1.0
0.9900751340060231,0.8401065956029313,1.0
0.9902912796735414,0.8367754830113258,1.0
0.990519695750299,0.8334443704197202,1.0
0.9907701631842134,0.8301132578281146,1.0
0.9909256854427193,0.826782145236509,1.0
0.9912445226533697,0.8234510326449034,1.0
0.9913495786218124,0.8201199200532978,1.0
0.9914477739991374,0.8167888074616922,1.0
0.9915467593431068,0.8134576948700866,1.0
0.9916097827553371,0.810126582278481,1.0
0.9917314110780752,0.8067954696868754,1.0
0.9918161204815997,0.8034643570952699,1.0
0.9919592617163979,0.8001332445036642,1.0
0.9921618832156399,0.7968021319120586,1.0
0.9923036577220515,0.793471019320453,1.0
0.9924203394134437,0.7901399067288475,1.0
0.9925684650037524,0.7868087941372418,1.0
0.992682616994403,0.7834776815456362,1.0
0.9927890254063035,0.7801465689540307,1.0
0.9928994075774475,0.7768154563624251,1.0
0.9930418315263821,0.7734843437708194,1.0
0.9931205674521861,0.7701532311792139,1.0
0.9932116866063219,0.7668221185876083,1.0
0.9933432133009689,0.7634910059960026,1.0
0.9934020077267254,0.760159893404397,1.0
0.9934727589904301,0.7568287808127915,1.0
0.9935267811474311,0.7534976682211859,1.0
0.993622303221227,0.7504996668887408,1.0
0.9936600158651081,0.7471685542971352,1.0
0.9937470814618657,0.7438374417055297,1.0
0.9938334776231575,0.740506329113924,1.0
0.9939206673490079,0.7371752165223184,1.0
0.9939652979433716,0.7338441039307129,1.0
0.9940312463378,0.7305129913391073,1.0
0.9940942547920965,0.7271818787475016,1.0
0.9941222205559793,0.723850766155896,1.0
0.9941919376911363,0.7205196535642905,1.0
0.9942443899209844,0.7171885409726849,1.0
0.9943441340609505,0.7138574283810792,1.0
0.9944165098775807,0.7105263157894737,1.0
0.994478813218123,0.7071952031978681,1.0
0.9945281846773858,0.7038640906062625,1.0
0.9945595350936519,0.7005329780146569,1.0
0.9946326424359242,0.6972018654230513,1.0
0.9947073606538898,0.6938707528314457,1.0
0.9947726191928186,0.6905396402398402,1.0
0.9948239632835338,0.6872085276482345,1.0
0.9948848403579765,0.6838774150566289,1.0
0.9949618061142546,0.6805463024650233,1.0
0.9950075162940826,0.6772151898734177,1.0
0.9950685459972988,0.6738840772818121,1.0
0.9951089944593516,0.6705529646902065,1.0
0.9951438057816683,0.667221852098601,1.0
0.9951759167777229,0.6638907395069953,1.0
0.995236829640433,0.6605596269153897,1.0
0.9952955742528996,0.6572285143237842,1.0
0.995352254749911,0.6538974017321786,1.0
0.99538308969763,0.6505662891405729,1.0
0.9954535837149859,0.6472351765489673,1.0
0.9955007862549206,0.6439040639573618,1.0
0.9955489581272182,0.6405729513657562,1.0
0.9955835331498878,0.6372418387741505,1.0
0.9955948796487166,0.633910726182545,1.0
0.9956365299731049,0.6305796135909394,1.0
0.995696236807891,0.6272485009993338,1.0
0.9957226855037901,0.6239173884077281,1.0
0.995771227319147,0.6205862758161226,1.0
0.9957966967906094,0.617255163224517,1.0
0.9958400893733466,0.6139240506329114,1.0
0.9958843498703698,0.6105929380413058,1.0
0.9959097636129591,0.6072618254497002,1.0
0.9959386882743368,0.6039307128580946,1.0
0.9959608801615949,0.600599600266489,1.0
0.9960047471805338,0.5972684876748834,1.0
0.9960356317484735,0.5939373750832778,1.0
0.9960976769582011,0.5906062624916723,1.0
0.9961365495580615,0.5872751499000666,1.0
0.9961751136601154,0.583944037308461,1.0
0.9962172438676775,0.5806129247168554,1.0
0.9962376398964311,0.5772818121252499,1.0
0.9962718870973156,0.5739506995336442,1.0
0.9963092418841628,0.5706195869420386,1.0
0.9963409894694465,0.5672884743504331,1.0
0.9963718798150718,0.5639573617588275,1.0
0.996401682665438,0.5606262491672218,1.0
0.9964398685180546,0.5572951365756162,1.0
0.9964894045346884,0.5539640239840107,1.0
0.9965142927783411,0.5506329113924051,1.0
0.9965471970549181,0.5473017988007994,1.0
0.9965789299127262,0.5439706862091939,1.0
0.9966170106476422,0.5406395736175883,1.0
0.9966609571175762,0.5373084610259827,1.0
0.9966742837595722,0.533977348434377,1.0
0.9967047868952656,0.5306462358427715,1.0
0.9967432140194438,0.5273151232511659,1.0
0.9967621261472215,0.5239840106595602,1.0
0.9967897375409152,0.5206528980679547,1.0
0.9968235751854104,0.5173217854763491,1.0
0.9968451817660449,0.5139906728847435,1.0
0.996866686988848,0.5106595602931379,1.0
0.9968799664858086,0.5073284477015323,1.0
0.9969213817165936,0.5039973351099267,1.0
0.9969427431317244,0.5009993337774816,1.0
0.9969777438096395,0.49766822118587606,1.0
0.9969990691746214,0.4943371085942705,1.0
0.9970209375312594,0.49100599600266487,1.0
0.9970560148339465,0.4876748834110593,1.0
0.9970699202307355,0.4843437708194537,1.0
0.9970977938106006,0.4810126582278481,1.0
0.9971311735426943,0.4776815456362425,1.0
0.9971454203517672,0.4743504330446369,1.0
0.9971699710744107,0.4710193204530313,1.0
0.9971875781036231,0.46768820786142573,1.0
0.9972116913659862,0.4643570952698201,1.0
0.9972402840998968,0.46102598267821454,1.0
0.9972656214692992,0.4576948700866089,1.0
0.9972978850547184,0.45436375749500335,1.0
0.9973145818934048,0.45103264490339773,1.0
0.9973688306307273,0.44770153231179216,1.0
0.9973876126269009,0.44437041972018654,1.0
0.9974020665449296,0.44103930712858097,1.0
0.9974229369450806,0.43770819453697535,1.0
0.9974538392117849,0.4343770819453698,1.0
0.9974768934086666,0.43104596935376416,1.0
0.9975040074994562,0.42771485676215854,1.0
0.9975301211600897,0.42438374417055297,1.0
0.997542103457959,0.42105263157894735,1.0
0.9975557801086934,0.4177215189873418,1.0
0.9975695568186105,0.41439040639573615,1.0
0.9975844076547422,0.4110592938041306,1.0
0.9976027087170027,0.40772818121252496,1.0
0.9976210741663387,0.4043970686209194,1.0
0.997632663097131,0.4010659560293138,1.0
0.9976455385935736,0.3977348434377082,1.0
0.9976656888632793,0.3944037308461026,1.0
0.9976912928672721,0.391072618254497,1.0
0.9977164977554104,0.3877415056628914,1.0
0.9977346259629701,0.3844103930712858,1.0
0.9977683399105918,0.3810792804796802,1.0
0.9977874176803121,0.37774816788807464,1.0
0.9978023838537365,0.374417055296469,1.0
0.9978196685804628,0.37108594270486345,1.0
0.9978437214027149,0.3677548301132578,1.0
0.9978739229144291,0.36442371752165226,1.0
0.9978910187637696,0.36109260493004663,1.0
0.9979005988283469,0.357761492338441,1.0
0.9979315761281589,0.35443037974683544,1.0
0.9979639610550147,0.3510992671552298,1.0
0.9979796113621245,0.34776815456362425,1.0
0.9979951872829111,0.34443704197201863,1.0
0.9980193613923735,0.34110592938041306,1.0
0.998032039848923,0.33777481678880744,1.0
0.9980571462909649,0.3344437041972019,1.0
0.9980816555184712,0.33111259160559625,1.0
0.9981087831572766,0.3277814790139907,1.0
0.9981253063766476,0.32445036642238506,1.0
0.9981420374172526,0.3211192538307795,1.0
0.9981593891550851,0.31778814123917387,1.0
0.9981765849643062,0.3144570286475683,1.0
0.9982008423568828,0.3111259160559627,1.0
0.9982242318928872,0.3077948034643571,1.0
0.9982428769212152,0.3044636908727515,1.0
0.9982679291886778,0.3011325782811459,1.0
0.9982811520877393,0.2978014656895403,1.0
0.998304816033931,0.29447035309793473,1.0
0.9983169937794877,0.2911392405063291,1.0
0.9983306864949848,0.28780812791472354,1.0
0.9983462607193851,0.2844770153231179,1.0
0.9983717800002054,0.2811459027315123,1.0
0.998391744482573,0.27781479013990673,1.0
0.9984028884873409,0.2744836775483011,1.0
0.9984218883167998,0.27115256495669554,1.0
0.9984363200295174,0.2678214523650899,1.0
0.9984529953007779,0.26449033977348435,1.0
0.9984645313387065,0.26115922718187873,1.0
0.9984870792723907,0.25782811459027316,1.0
0.9985003277770008,0.2548301132578281,1.0
0.9985167398937077,0.2514990006662225,1.0
0.9985269041764344,0.24816788807461693,1.0
0.9985404349647745,0.24483677548301133,1.0
