C,class_weight,accuracy,macro_f1,internal_it_accuracy,internal_it_macro_f1,customer_support_accuracy,customer_support_macro_f1
0.1,None,0.7620406707099536,0.5974842190232699,0.8612040133779264,0.8584360371273206,0.18491484184914841,0.17996131005678837
0.1,balanced,0.7606136282554407,0.5953664028140011,0.8607859531772575,0.8578761329850028,0.17761557177615572,0.17535083454039838
0.5,None,0.7602568676418123,0.5939650819393525,0.8618311036789298,0.8609013510198584,0.16909975669099755,0.1668670514105427
0.5,balanced,0.7631109525508384,0.5964773191504467,0.864757525083612,0.8628402449273525,0.17153284671532848,0.17029663790739752
2.0,None,0.7549054584373885,0.5909179367300653,0.8557692307692307,0.8560748881566134,0.1678832116788321,0.16666681444758863
2.0,balanced,0.7574027827327863,0.59209873983129,0.8593227424749164,0.860249886777444,0.16423357664233576,0.163056904717444
