C,class_weight,accuracy,macro_f1
0.1,None,0.5,0.2722435457010655
0.1,balanced,0.451338199513382,0.36065868351406166
0.5,None,0.4586374695863747,0.3332725831763183
0.5,balanced,0.41605839416058393,0.35293598293047257
2.0,None,0.4209245742092457,0.334606283828723
2.0,balanced,0.40145985401459855,0.3366081588144671
