,precision,recall,f1-score,support
High,0.5254545454545455,0.6963855421686747,0.5989637305699482,415.0
Low,0.2602739726027397,0.19689119170984457,0.22418879056047197,193.0
Medium,0.3492063492063492,0.205607476635514,0.25882352941176473,214.0
accuracy,0.451338199513382,0.451338199513382,0.451338199513382,0.451338199513382
macro avg,0.3783116224212115,0.3662947368380111,0.36065868351406166,822.0
weighted avg,0.41730738662545486,0.451338199513382,0.4224168127236219,822.0
