threshold,coverage,automatic_accuracy,automatic_tickets
0.0006781821403851196,1.0,0.8816889632107023,4784
0.0032318698733842387,0.9979096989966555,0.8822790113112694,4774
0.0059311409688006045,0.995819397993311,0.8826616288832914,4764
0.0094721742257079,0.993938127090301,0.8830704521556256,4755
0.015807550236676144,0.9918478260869565,0.8838777660695469,4745
0.019637755619799104,0.9899665551839465,0.8847128378378378,4736
0.023343216919861597,0.987876254180602,0.8855268726195514,4726
0.02756792760875539,0.9859949832775919,0.8863684545261818,4717
0.0315438237873626,0.9839046822742475,0.8874017420862546,4707
0.036932187531055906,0.9820234113712375,0.888250319284802,4698
0.0404788178731268,0.979933110367893,0.8897184300341296,4688
0.04352689767808258,0.9780518394648829,0.8905749091686258,4679
0.04651151400940406,0.9759615384615384,0.8916256157635468,4669
0.049666011551530886,0.9740802675585284,0.892274678111588,4660
0.052052863216679984,0.971989966555184,0.8933333333333333,4650
0.05537061509021432,0.9698996655518395,0.8939655172413793,4640
0.059523898186177246,0.9680183946488294,0.894839127618225,4631
0.06282474860092484,0.9659280936454849,0.8956935728197359,4621
0.06514719660674195,0.9640468227424749,0.8965741543798785,4612
0.0688698909332323,0.9619565217391305,0.8967840069534985,4602
0.07210543937732987,0.9600752508361204,0.8972349227084694,4593
0.07627030259912501,0.9579849498327759,0.8985380754963997,4583
0.07766422798374803,0.9561036789297659,0.8987756886751203,4574
0.08211982800778093,0.9540133779264214,0.89943032427695,4564
0.08574857329912654,0.9521321070234113,0.9001097694840834,4555
0.09213068545051165,0.9500418060200669,0.900990099009901,4545
0.09644985349727231,0.9481605351170569,0.9012345679012346,4536
0.09927891591403605,0.9460702341137124,0.9021210782147592,4526
0.10386703415743692,0.9439799331103679,0.9027900797165633,4516
0.1103715838584926,0.9420986622073578,0.9041491013978256,4507
0.11451448938201514,0.9400083612040134,0.9041583277740716,4497
0.11894202717967202,0.9381270903010034,0.9044117647058824,4488
0.12419491393435417,0.9360367892976589,0.905761500669942,4478
0.12720661989981324,0.9341555183946488,0.9062430073842023,4469
0.13220021913580968,0.9320652173913043,0.9076026014801525,4459
0.1377036191251011,0.9301839464882943,0.9089887640449438,4450
0.14258884055127374,0.9280936454849499,0.9096846846846847,4440
0.1448322944734973,0.9262123745819398,0.9106296547054841,4431
0.15222608482264874,0.9241220735785953,0.9115584709341777,4421
0.1561600801046865,0.9222408026755853,0.9120580235720761,4412
0.15917999598628088,0.9201505016722408,0.9134484325306679,4402
0.16212507936676074,0.9180602006688964,0.9139344262295082,4392
0.1646599554185121,0.9161789297658863,0.9151266255989049,4383
0.16966613725516125,0.9140886287625418,0.9156185684884519,4373
0.17233139887931526,0.9122073578595318,0.9154445462878094,4364
0.17643703958775633,0.9101170568561873,0.9159393661001378,4354
0.18015693306699604,0.9082357859531772,0.9164556962025316,4345
0.18330951943297466,0.9061454849498328,0.9171856978085352,4335
0.18680310964233698,0.9042642140468228,0.9174757281553398,4326
0.1895030967147832,0.9021739130434783,0.9179796107506951,4316
0.1935848513279112,0.9002926421404682,0.9182725795217088,4307
0.1971603856881875,0.8982023411371237,0.9194787060740052,4297
0.20080581397287442,0.8963210702341137,0.9202425373134329,4288
0.2036196305973955,0.8942307692307693,0.9202898550724637,4278
0.2065230004456309,0.8921404682274248,0.9205716963448922,4268
0.20907976508978907,0.8902591973244147,0.920873444470533,4259
0.21325312490242374,0.8881688963210702,0.9213932690044716,4249
0.21697042715162548,0.8862876254180602,0.9216981132075471,4240
0.22074712822878603,0.8841973244147158,0.9222222222222223,4230
0.22432038606870552,0.8823160535117057,0.9227671167969675,4221
0.22588274856264448,0.8802257525083612,0.9235336024697222,4211
0.22916733923055263,0.8783444816053512,0.9243217515468825,4202
0.23273384148095608,0.8762541806020067,0.9250954198473282,4192
0.2353990373819697,0.8743729096989966,0.9254123834568492,4183
0.24038488854117232,0.8722826086956522,0.9264318236280853,4173
0.2442902628724002,0.8704013377926422,0.9272334293948127,4164
0.24689083152857164,0.8683110367892977,0.9280211844005778,4154
0.24934694848285027,0.8664297658862876,0.9283474065138722,4145
0.2514488025795962,0.8643394648829431,0.9288996372430471,4135
0.2549155157011138,0.8622491638795987,0.9294545454545454,4125
0.26041814662179763,0.8603678929765887,0.9307580174927114,4116
0.26360069277255815,0.8582775919732442,0.9310764734534827,4106
0.2657740281955078,0.8563963210702341,0.931901391261899,4097
0.27084728439826494,0.8543060200668896,0.9324688035233668,4087
0.2747441348760913,0.8524247491638796,0.9335458558116724,4078
0.2775201586483853,0.8503344481605352,0.933874139626352,4068
0.28191794235971573,0.8484531772575251,0.934220251293422,4059
0.2856084604431843,0.8463628762541806,0.9350456902938997,4049
0.2881040676480056,0.8444816053511706,0.9356435643564357,4040
0.29416017487567153,0.842391304347826,0.9364764267990074,4030
0.29782148352246846,0.840510033444816,0.9365829395672718,4021
0.30168533439327905,0.8384197324414716,0.9369234604836699,4011
0.3044793465881609,0.8363294314381271,0.9375156210947263,4001
0.3061773799535686,0.8344481605351171,0.937625250501002,3992
0.30748537079947386,0.8323578595317725,0.9377197388247112,3982
0.30950636813149773,0.8304765886287625,0.9383337528316134,3973
0.3131413692083654,0.8283862876254181,0.9391874842291194,3963
0.3169047821185929,0.8265050167224081,0.9395548811330299,3954
0.3206316893325124,0.8244147157190636,0.9399087221095335,3944
0.3244067087723957,0.8225334448160535,0.940279542566709,3935
0.3282276419970446,0.820443143812709,0.9403821656050956,3925
0.3318688793584931,0.818561872909699,0.9410112359550562,3916
0.33551069044909454,0.8164715719063546,0.9411162314388121,3906
0.3375381398747055,0.8145903010033445,0.9417500641519118,3897
0.3398161192754968,0.8125,0.9423720092616413,3887
0.34174965162690185,0.8104096989966555,0.942739231364457,3877
0.3450125257856638,0.8085284280936454,0.9428645294725957,3868
0.34875357045619054,0.806438127090301,0.9429756350440642,3858
0.3518353068670681,0.804556856187291,0.9431021044427124,3849
0.35437668541924533,0.8024665551839465,0.9434748632456369,3839
0.3574698322019693,0.8005852842809364,0.9441253263707572,3830
0.3617167262053721,0.7984949832775919,0.9445026178010472,3820
0.3655503947972275,0.7966137123745819,0.9446339543426923,3811
0.37089543122537005,0.7945234113712375,0.9447513812154696,3801
