threshold,coverage,accuracy
0.48182322553226176,1.0,0.9517397680309292
0.5023571258296994,0.9966671110518598,0.952247191011236
0.5076897662888482,0.9933342221037195,0.9536974902697625
0.512858719076103,0.9900013331555793,0.9551575545381094
0.5168634217651125,0.986668444207439,0.9566274827725983
0.5220970579730709,0.9833355552592987,0.9582429501084598
0.5264586859150326,0.9800026663111585,0.9595973336960958
0.5322318962575405,0.9766697773630183,0.9605514605514606
0.5374597916763187,0.973336888414878,0.9620599917819477
0.5410078736081032,0.9700039994667378,0.9631665750412315
0.5468457836396068,0.9666711105185976,0.9642807888567094
0.551296217577135,0.9633382215704572,0.965264323277055
0.5559433666786853,0.960005332622317,0.9662546868490487
0.5595353043569185,0.9566724436741768,0.967809364548495
0.5634831936767346,0.9533395547260365,0.9692350720178996
0.5685725599116191,0.9500066657778963,0.9708111142295818
0.5728234184935457,0.9466737768297561,0.9716941275876637
0.5796792597519569,0.9433408878816157,0.9727247032221594
0.5843141966412436,0.9400079989334755,0.9736207630123387
0.5883458883324295,0.9366751099853353,0.9746655280387133
0.5942338799398632,0.933342221037195,0.975432081131267
0.5988840068012655,0.9300093320890548,0.9760607798165137
0.6050035633970546,0.9266764431409146,0.9771255934397929
0.6106605821570905,0.9233435541927743,0.9783424776205603
0.6152910609712178,0.9201439808025597,0.9787018255578094
0.6191506208410961,0.9168110918544194,0.9800785226116039
0.6248939051230574,0.9134782029062791,0.9802977232924693
0.6295874902928035,0.9101453139581389,0.9815438699282262
0.6338336828645871,0.9068124250099987,0.9825051455454278
0.6391542735335585,0.9034795360618584,0.9833259554375092
0.6438232649732188,0.9001466471137182,0.9840047393364929
0.6473913312513078,0.896813758165578,0.9846885684554779
0.652290746802954,0.8934808692174376,0.9850790808713816
0.6567394404866552,0.8901479802692974,0.9854725175977235
0.6617261658341634,0.8868150913211572,0.9858689116055321
0.6655994239097027,0.8834822023730169,0.9861173985212012
0.669542774610285,0.8801493134248767,0.9865192365949712
0.6726437632802681,0.8768164244767365,0.9872282195529877
0.6759013382615243,0.8734835355285961,0.9871794871794872
0.6792885670292698,0.8701506465804559,0.9878964302129616
0.6827077816454948,0.8668177576323157,0.9880036911719471
0.6873691697392682,0.8634848686841754,0.9884205650764243
0.6918992178865392,0.8601519797360352,0.9885306881587105
0.6969888544532857,0.856819090787895,0.9892640423214564
0.7020638649959574,0.8534862018397547,0.9900031240237426
0.7049586014089978,0.8501533128916144,0.990434373529873
0.7088579505072597,0.8468204239434742,0.9908690176322418
0.7124781224599855,0.8434875349953339,0.9911490437806227
0.7170409015476976,0.8402879616051193,0.9919086149452642
0.7205696211610296,0.8369550726569791,0.9921949665498566
0.7239634481738598,0.8336221837088388,0.9924836078682232
0.7295086655898418,0.8302892947606986,0.9927745664739884
0.734360884678994,0.8269564058125584,0.9929066580686764
0.7386734604526592,0.823623516864418,0.9932016833926837
0.7424472401906157,0.8202906279162778,0.9934991061270925
0.7452595055898737,0.8169577389681376,0.993798955613577
0.7498763683308205,0.8136248500199973,0.993773553989841
0.7542446549643671,0.8102919610718571,0.9940769990128332
0.7574936340584012,0.8069590721237169,0.9942177432678011
0.7607615617605895,0.8036261831755765,0.9943596549435966
0.7631828879871226,0.8002932942274363,0.9946693320006663
0.7663138328640346,0.7969604052792961,0.9946470391435263
0.7699977654938767,0.7936275163311558,0.9947925415756761
0.7719126192605177,0.7902946273830156,0.9949392712550608
0.7757846833827168,0.7869617384348754,0.995087243774352
0.7785202252613415,0.7836288494867351,0.9950663490983328
0.7813921552731168,0.7802959605385948,0.9953869810353665
0.7841669398253361,0.7769630715904546,0.9955387783115992
0.7874781818017856,0.7736301826423143,0.9958642081681889
0.7906835670850948,0.7702972936941741,0.9960193838698511
0.7932388584367462,0.7669644047460339,0.9960020858682427
0.7961908165694572,0.7636315157978936,0.9963337988826816
0.7993637516094025,0.760431942407679,0.9963183730715287
0.8024658656019622,0.7570990534595388,0.9963021658742737
0.8061397366307883,0.7537661645113984,0.9969932790944465
0.8094415378954869,0.7504332755632582,0.9973352282821105
0.8127997058283326,0.747100386615118,0.997501784439686
0.8161262643277605,0.7437674976669777,0.9974905897114178
0.818983125251322,0.7404346087188375,0.9974792942023767
0.8222100658327839,0.7371017197706973,0.9976487610779526
0.8260411677119989,0.733768830822557,0.9976380813953488
0.8280922322398075,0.7304359418744167,0.9976273042526008
0.8299982692536089,0.7271030529262765,0.9976164283094976
0.8317595321192217,0.7237701639781362,0.9977896481856695
0.8342290868250515,0.720437275029996,0.997779422649889
0.836233772689648,0.7171043860818558,0.9981409183863171
0.83926133952596,0.7137714971337155,0.9981322375793799
0.8415883220739325,0.7104386081855752,0.9981234753237005
0.8438990334919345,0.707105719237435,0.9983031674208145
0.8463752115322833,0.7037728302892947,0.9982951316537223
0.8482533903100364,0.7004399413411545,0.99828701941378
0.8505271102150188,0.6971070523930143,0.9982788296041308
0.852496913179272,0.693774163444874,0.9986548808608763
0.8544445223696157,0.6904412744967338,0.9988414751882603
0.8562698497980926,0.6871083855485935,0.9988358556461001
0.858799211840064,0.6837754966004532,0.9988301813218952
0.8602927394415356,0.6805759232102386,0.9988246816846229
0.8620271422267389,0.6772430342620984,0.9988188976377953
0.8648413955462788,0.6739101453139581,0.998813056379822
0.8671705513428214,0.6705772563658179,0.9988071570576541
0.8689041149018208,0.6672443674176777,0.9988011988011988
0.8714937413438042,0.6639114784695374,0.998995983935743
0.8743448786630934,0.6605785895213971,0.9989909182643795
0.8766483329757928,0.6572457005732569,0.9989858012170385
0.8783643297595555,0.6539128116251166,0.9989806320081549
0.8799573809762611,0.6505799226769764,0.9989754098360656
0.8811696149380803,0.6472470337288362,0.9991761071060762
0.8827784870315828,0.6439141447806959,0.9991718426501035
0.8855479639533761,0.6405812558325557,0.9991675338189386
0.887121574074617,0.6372483668844154,0.999163179916318
0.8893279714100132,0.6339154779362751,0.9991587802313354
0.8915988103287253,0.6305825889881349,0.999154334038055
0.8929719120834191,0.6272497000399947,0.9993623804463337
0.8950477485145891,0.6239168110918544,0.9993589743589744
0.8960627947678826,0.6205839221437142,0.9993555316863587
0.8979385218369178,0.617251033195574,0.9995680345572354
0.899689040201656,0.6139181442474336,0.9995656894679696
0.9020372786655378,0.6105852552992934,0.9995633187772925
0.9035386361501317,0.6072523663511532,0.9995609220636663
0.9046866274441844,0.6039194774030129,0.9995584988962473
0.906546241607815,0.6007199040127983,0.9995561473590768
