threshold,automatic_accuracy,coverage,automatic_tickets
0.00013448393118703494,0.7237862097103224,1.0,2451
0.005535895172673629,0.7255223269151987,0.9959200326397388,2441
0.011075817361642586,0.7272727272727273,0.9918400652794778,2431
0.01498641464034256,0.7290375877736472,0.9877600979192166,2421
0.023064897958367032,0.7300995024875622,0.9840881272949816,2412
0.028712039520518172,0.731473771856786,0.9800081599347206,2402
0.03510684350813989,0.7332775919732442,0.9759281925744594,2392
0.04070931598796862,0.7334172963895886,0.9718482252141983,2382
0.049735414577908636,0.7353560893383903,0.9681762545899633,2373
0.05515695003872434,0.7363520947947524,0.9640962872297022,2363
0.0603382520819906,0.7369315767105822,0.960016319869441,2353
0.06551472334656744,0.7383696116090482,0.95593635250918,2343
0.06997767908658796,0.7403598971722365,0.9522643818849449,2334
0.07573058800439066,0.7426850258175559,0.9481844145246838,2324
0.08525524037091957,0.7433016421780466,0.9441044471644227,2314
0.08901608167066269,0.7430555555555556,0.9400244798041616,2304
0.09460276410808523,0.7442265795206972,0.9363525091799265,2295
0.09812157099555861,0.7448577680525165,0.9322725418196655,2285
0.10097052352664164,0.7441758241758242,0.9281925744594043,2275
0.10560464195050552,0.7439293598233996,0.9241126070991432,2265
0.11081553753262327,0.7451241134751773,0.9204406364749081,2256
0.11648648201257708,0.7462154942119323,0.9163606691146471,2246
0.12275859148146544,0.7459749552772809,0.9122807017543859,2236
0.1267576754775074,0.7466307277628033,0.9082007343941249,2226
0.13260579825403054,0.7478574650428507,0.9045287637698899,2217
0.13738527831964653,0.7494336202990485,0.9004487964096287,2207
0.14302055126930704,0.7496586253982703,0.8963688290493677,2197
0.15106082635749526,0.751257430269776,0.8922888616891065,2187
0.15741259658407308,0.7520661157024794,0.8886168910648715,2178
0.16387172178346512,0.753690036900369,0.8845369237046103,2168
0.16852484166393852,0.7553290083410565,0.8804569563443493,2158
0.1764446387683558,0.7561656584457888,0.8767849857201142,2149
0.18194716756972615,0.7564282374941561,0.8727050183598531,2139
0.18703993588043863,0.7576326914044152,0.868625050999592,2129
0.1907414298600542,0.758376592732421,0.8645450836393309,2119
0.19729901426291077,0.7582938388625592,0.8608731130150958,2110
0.20083905945704328,0.7595238095238095,0.8567931456548348,2100
0.2061518839354023,0.761244019138756,0.8527131782945736,2090
0.21174697787371635,0.7634615384615384,0.8486332109343125,2080
0.2156922009115052,0.7643650410429744,0.8449612403100775,2071
0.2210029005853113,0.7651625424551188,0.8408812729498164,2061
0.22972282258971183,0.7664553876157971,0.8368013055895552,2051
0.23643144340297537,0.7677609015188633,0.8327213382292942,2041
0.2412150651478527,0.7687007874015748,0.8290493676050592,2032
0.24687284423140984,0.7705242334322453,0.824969400244798,2022
0.2515460608630018,0.7703777335984096,0.820889432884537,2012
0.25607121562132973,0.7717282717282717,0.8168094655242758,2002
0.2623559971034003,0.7722027094831911,0.8131374949000408,1993
0.2672159481998806,0.7740796772566818,0.8090575275397797,1983
0.27358334316600613,0.7754688291941206,0.8049775601795186,1973
0.2772966057073666,0.7758532857870606,0.8008975928192574,1963
0.28499732945535267,0.7778915046059366,0.7972256221950225,1954
0.2919692354624645,0.7788065843621399,0.7931456548347613,1944
0.2974699960209322,0.7807652533609101,0.7890656874745002,1934
0.30346493350393455,0.7817047817047817,0.7849857201142391,1924
0.3110194352121809,0.7827676240208877,0.7813137494900041,1915
0.3154158520652132,0.7837270341207349,0.7772337821297429,1905
0.31984144152919824,0.7852242744063325,0.7731538147694819,1895
0.32517331105214997,0.7857900318133616,0.7694818441452468,1886
0.33165533299775785,0.7857142857142857,0.7654018767849857,1876
0.3384687048244251,0.7877813504823151,0.7613219094247246,1866
0.34477991479538106,0.7893318965517241,0.7572419420644635,1856
0.35066973784156985,0.7910124526258798,0.7535699714402285,1847
0.35628652914567044,0.793685356559608,0.7494900040799674,1837
0.361119029593729,0.7952928297755884,0.7454100367197063,1827
0.365969883740572,0.7952669235002752,0.7413300693594451,1817
0.37140458821594463,0.7953539823008849,0.7376580987352102,1808
0.37580713276432587,0.796440489432703,0.733578131374949,1798
0.3836820714372144,0.7975391498881432,0.7294981640146879,1788
0.3888709528694637,0.7980877390326209,0.7254181966544268,1778
0.39535341334980123,0.7993216506500848,0.7217462260301918,1769
0.3998685361808912,0.7998862990335418,0.7176662586699306,1759
0.40526676478504065,0.8021726700971984,0.7135862913096696,1749
0.4123156093057433,0.8027602070155262,0.7095063239494084,1739
0.4187030751547202,0.8040462427745665,0.7058343533251734,1730
0.42644107374663903,0.8052325581395349,0.7017543859649122,1720
0.43035910552697637,0.8076023391812865,0.6976744186046512,1710
0.43552873166229744,0.8088235294117647,0.69359445124439,1700
0.44047326529025604,0.8083973979893554,0.689922480620155,1691
0.4470375326935022,0.8078524687685901,0.6858425132598939,1681
0.45333884162421456,0.8078994614003591,0.6817625458996328,1671
0.46079053102944384,0.8085490668272125,0.6776825785393716,1661
0.46537830467519004,0.809322033898305,0.6740106079151367,1652
0.4722128905051147,0.8093788063337394,0.6699306405548756,1642
0.4771970210490841,0.8106617647058824,0.6658506731946144,1632
0.4829382674135378,0.8114602587800369,0.6621787025703795,1623
0.48972079817234315,0.8109113453192809,0.6580987352101183,1613
0.49476070642509473,0.8134747348721147,0.6540187678498572,1603
0.5006957086246192,0.8141870684243565,0.6499388004895961,1593
0.50454728368833,0.8169191919191919,0.6462668298653611,1584
0.5125644210623513,0.8170266836086404,0.6421868625050999,1574
0.5167847207140993,0.819693094629156,0.6381068951448389,1564
0.5221604103333914,0.8198198198198198,0.6340269277845777,1554
0.5279283743257391,0.8207119741100324,0.6303549571603427,1545
0.5340456002208623,0.8214983713355049,0.6262749898000816,1535
0.544711918826543,0.8216393442622951,0.6221950224398205,1525
0.5490454429463733,0.8237623762376237,0.6181150550795593,1515
0.5542490429007634,0.8247011952191236,0.6144430844553244,1506
0.5593523720016672,0.8248663101604278,0.6103631170950632,1496
0.5615538921076466,0.8257065948855989,0.6062831497348021,1486
0.565610810564971,0.825880758807588,0.602203182374541,1476
