feature,importance_mean,importance_std
customers_affected,0.44583388881482466,0.0031315254172068867
downtime_min,0.29876016531129185,0.002030602081286212
error_rate_pct,0.13944807359018802,0.0012101645879653794
customer_tier_cat,0.07345687241701108,0.002479812723335352
reported_by_role_cat,0.040661245167311066,0.0009940728906709505
has_runbook,0.02975603252899619,0.0017226103511759172
product_area_cat,0.028502866284495432,0.0018189636476001177
payment_impact_flag,0.009918677509665397,0.0008705414060693143
data_loss_flag,0.0020263964804692726,0.00013062203667688651
security_incident_flag,0.0009332089054793213,0.0001460398766844945
day_of_week_num,7.99893347553704e-05,0.00043486218984938003
booking_channel_cat,2.2204460492503132e-17,0.0004540564289008498
description_length,-2.666311158510126e-05,0.0004078671787969044
past_30d_tickets,-0.00015997866951069639,0.00047247154103902903
customer_sentiment_cat,-0.0001599786695107408,0.00019593305501532977
company_size_cat,-0.00034662045060660505,6.531101833844326e-05
industry_cat,-0.00045327289694703233,0.0003826876441649497
region_cat,-0.00045327289694703233,0.000159978669510689
past_90d_incidents,-0.000559925343287504,0.00013062203667685933
org_users,-0.0007199040127982448,0.0005877991650459469
