threshold,coverage,accuracy,tickets
0.4926650220690869,1.0,0.9725369950673244,7501
0.5051941682879455,0.9980002666311159,0.9735506278386321,7486
0.5145932210729588,0.9960005332622317,0.9747021817695087,7471
0.5219771344299757,0.9940007998933476,0.9758583690987125,7456
0.5258068595525934,0.9920010665244634,0.9770192178470636,7441
0.5329197709269506,0.9900013331555793,0.9777807702666308,7426
0.5424032895272359,0.9880015997866951,0.979085143705303,7411
0.5486699823684555,0.986001866417811,0.9798539751216874,7396
0.555202698768351,0.9840021330489268,0.9806259314456036,7381
0.563297867221606,0.9820023996800427,0.981129513983166,7366
0.5694726075473359,0.9800026663111585,0.9817711875935247,7351
0.5755810333831944,0.9780029329422744,0.9821428571428571,7336
0.5813181950414771,0.9760031995733902,0.9831990165277967,7321
0.5886095927177569,0.9740034662045061,0.9835751437174924,7306
0.5943216629473214,0.9720037328356219,0.9840899739404746,7291
0.5992928801509587,0.9700039994667378,0.9847443650357339,7276
0.609775656700416,0.9680042660978536,0.9851260157003168,7261
0.6163683415741009,0.9660045327289695,0.985509246480817,7246
0.622691673272542,0.9640047993600853,0.9858940672106209,7231
0.6294831109846515,0.9620050659912012,0.9864190687361419,7216
0.6367374166149585,0.960005332622317,0.9870851270656853,7201
0.6454926587779619,0.9580055992534329,0.987893125521848,7186
0.6513358348210504,0.9560058658845487,0.9885650536884675,7171
0.6564879577453641,0.9541394480735902,0.9892413022216012,7157
0.6627163061315814,0.952139714704706,0.9894987398487819,7142
0.6677675746825475,0.9501399813358219,0.990037884102708,7127
0.6723387890303595,0.9481402479669377,0.9904386951631046,7112
0.6780643784745811,0.9461405145980536,0.9907002958996759,7097
0.6831209638580396,0.9441407812291694,0.9909630048009037,7082
0.6873462451749427,0.9421410478602853,0.9917928399603793,7067
0.6943002615422662,0.9401413144914011,0.9922007941009643,7052
0.7014192774169549,0.938141581122517,0.9923262754014495,7037
0.7052931503015709,0.9361418477536328,0.9925947023639988,7022
0.7110665704297878,0.9341421143847487,0.9925788497217068,7007
0.7151066479851145,0.9321423810158646,0.9932780320366132,6992
0.7208927598098324,0.9301426476469804,0.9932635803353878,6977
0.7254070810772321,0.9281429142780963,0.9938236139040506,6962
0.7329733792631943,0.9261431809092121,0.9940981718727508,6947
0.7381381199326524,0.924143447540328,0.9945181765724178,6932
0.7446385304676807,0.9221437141714438,0.9946508601995084,6917
0.7506078381758549,0.9201439808025597,0.9947841205447696,6902
0.7563885086107456,0.9181442474336755,0.9950631624800349,6887
0.7606284115389511,0.9161445140647914,0.9953434225844005,6872
0.7655940662209741,0.9141447806959072,0.9956249088522677,6857
0.7713553725270296,0.9121450473270231,0.9957614732534347,6842
0.7774717978339721,0.9102786295160645,0.9960456942003515,6828
0.7817686831002313,0.9082788961471804,0.9963305445471892,6813
0.7859072058870459,0.9062791627782962,0.9964695498676082,6798
0.7906340104006035,0.9042794294094121,0.9967565973757925,6783
0.7974350996709244,0.9022796960405279,0.9970449172576832,6768
0.8015268446022646,0.9002799626716438,0.997186435658226,6753
0.8056452150535238,0.8982802293027596,0.9971801721579103,6738
0.8088496961162616,0.8962804959338755,0.9971738807080173,6723
0.8120706096188609,0.8942807625649913,0.9973166368515206,6708
0.8170827743274488,0.8922810291961072,0.9974600328701628,6693
0.8210736444189343,0.890281295827223,0.9974543276430069,6678
0.8263525099371564,0.8882815624583389,0.9974485967282005,6663
0.8331316113736777,0.8862818290894547,0.9974428399518652,6648
0.8376859669069865,0.8842820957205706,0.9975878184833409,6633
0.8410694858740095,0.8822823623516864,0.9977334542157752,6618
0.846682602119813,0.8802826289828023,0.9978797516280479,6603
0.8498222642459465,0.8782828956139181,0.9978749241044323,6588
0.8554770809827922,0.876283162245034,0.9981743496120493,6573
0.8597738218618828,0.8742834288761498,0.998322659347362,6558
0.8627508573344321,0.8722836955072657,0.9983188139996944,6543
0.8671773071054258,0.8702839621383816,0.9984681372549019,6528
0.8697252052597788,0.8682842287694974,0.9984646092430524,6513
0.873289182020132,0.8664178109585389,0.998461301738729,6499
0.8771087876636521,0.8644180775896547,0.9986119679210363,6484
0.8804411197197612,0.8624183442207706,0.9987633328180553,6469
0.8841964908517244,0.8604186108518864,0.9989154013015185,6454
0.8860673056048404,0.8584188774830023,0.9989128746699798,6439
0.8882441746898251,0.8564191441141181,0.99906600249066,6424
0.8923431504131523,0.854419410745234,0.9990638165080356,6409
0.8944811064486231,0.8524196773763498,0.9990616202690021,6394
0.897729491855314,0.8504199440074657,0.9990594137012071,6379
0.8998981677031322,0.8484202106385815,0.9992143306096795,6364
0.9024204485627242,0.8464204772696974,0.9992124744054182,6349
0.9043715989103207,0.8444207439008132,0.9992106094095359,6334
0.907107348748799,0.8424210105319291,0.9992087355594239,6319
0.9089156818747958,0.8404212771630449,0.9992068527918782,6304
0.9106899616891314,0.8384215437941608,0.9992049610430911,6289
0.911808804978728,0.8364218104252766,0.9992030602486452,6274
0.9136890953859875,0.8344220770563925,0.9992011503435053,6259
0.9154974766483834,0.8324223436875083,0.9993593850096092,6244
0.9176506761211239,0.8304226103186242,0.999357842350297,6229
0.9196586348297767,0.82842287694974,0.9993562922433216,6214
0.9218429693742006,0.8264231435808559,0.9993547346346184,6199
